,stock_code,maximum_drawdown,maximum_drawdown_percentage,rate,gain,stop,annualized_returns
147,WIN,-23049.885500000062,-37.86143607786942,41.201117318435756,0.6500000000000001,0.25000000000000006,22.472555148924744
148,PETR4,-37575.873365,-45.4564330393346,40.16620498614959,0.7000000000000002,0.25000000000000006,18.538089564357474
149,VALE3,-30872.27562300008,-50.9620008571958,41.65435745937962,0.7000000000000002,0.25000000000000006,35.590703048225755
150,WDO,-19835.174999999886,-33.64353714873328,40.638606676342526,0.7000000000000002,0.25000000000000006,18.359228500501867
151,WIN,-20467.13150000007,-33.3061221443761,40.813464235624124,0.7000000000000002,0.25000000000000006,24.966851826208792
152,PETR4,-37575.873365,-44.379199786956704,39.94413407821229,0.7500000000000002,0.25000000000000006,22.36447624325695
153,VALE3,-29894.96107100013,-48.198983537685905,41.492537313432834,0.7500000000000002,0.25000000000000006,35.84947827949012
154,WDO,-18660.122499999867,-33.21428713802973,40.524781341107875,0.7500000000000002,0.25000000000000006,19.29068400796192
155,WIN,-22256.259600000092,-37.39687942543216,40.563380281690144,0.7500000000000002,0.25000000000000006,25.146356580205833
156,PETR4,-37575.873365,-41.88274055878994,39.52180028129395,0.8000000000000003,0.25000000000000006,25.381004935157712
157,VALE3,-33397.631299000124,-52.4974316455027,41.265060240963855,0.8000000000000003,0.25000000000000006,33.210449046966176
158,WDO,-20460.442499999954,-36.36815400638022,40.14705882352941,0.8000000000000003,0.25000000000000006,16.69842098137351
159,WIN,-20227.200500000094,-32.89320845109117,40.50991501416431,0.8000000000000003,0.25000000000000006,30.3839965553496
160,PETR4,-37575.873365,-40.53793717429896,39.63328631875881,0.8500000000000003,0.25000000000000006,28.00299403589712
161,VALE3,-32932.614474000125,-52.49201416564435,41.1144578313253,0.8500000000000003,0.25000000000000006,33.004836142527225
162,WDO,-20460.442499999954,-35.037632103229264,40.058910162002945,0.8500000000000003,0.25000000000000006,16.23537721368937
